# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_6	tRNA	157	246	+	COBAOO_00005	trnS	tRNA-Ser(cga)	SO:0000269
contig_22	cds	44	316	+	COBAOO_00010		hypothetical protein	PFAM:PF00294.27
contig_24	cds	112	336	+	COBAOO_00015		hypothetical protein	
contig_26	cds	14	265	-	COBAOO_00020		hypothetical protein	
contig_33	cds	80	601	-	COBAOO_00025		hypothetical protein	
contig_41	ncRNA	21	128	-	COBAOO_00030	ES222	ES222 sRNA	RFAM:RF02755, SO:0000655
contig_55	cds	91	573	+	COBAOO_00035		HTH luxR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8B6IR71
contig_56	cds	1	327	+	COBAOO_00040		hypothetical protein	
contig_60	cds	41	328	-	COBAOO_00045		hypothetical protein	PFAM:PF00990.24
contig_62	cds	25	309	+	COBAOO_00050		hypothetical protein	PFAM:PF00106.28, PFAM:PF13561.9
contig_77	cds	18	638	-	COBAOO_00055		hypothetical protein	PFAM:PF02775.24
contig_82	cds	55	288	+	COBAOO_00060		hypothetical protein	
contig_84	cds	15	257	-	COBAOO_00065		hypothetical protein	
contig_85	cds	3	275	-	COBAOO_00070		hypothetical protein	
contig_89	cds	97	318	-	COBAOO_00075		hypothetical protein	
contig_99	cds	60	359	+	COBAOO_00080		hypothetical protein	PFAM:PF01047.25, PFAM:PF09339.13, PFAM:PF13412.9
contig_110	cds	30	530	+	COBAOO_00085		hypothetical protein	
contig_111	cds	279	1439	-	COBAOO_00090	ugpC	sn-glycerol-3-phosphate import ATP-binding protein ugpC	SO:0001217, UniRef:UniRef50_L0NKI1
contig_111	cds	1472	2317	-	COBAOO_00095		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A498RN96
contig_111	cds	2310	3242	-	COBAOO_00100		Permease of ABC sugar transporter	SO:0001217, UniRef:UniRef50_G4M2G3
contig_111	cds	3343	4605	-	COBAOO_00105		Carbohydrate ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A442E6P0
contig_111	cds	5130	6578	-	COBAOO_00110	gtrS	two-component system sensor histidine kinase GtrS	BlastRules:WP_003114839, SO:0001217, UniRef:UniRef50_Q9HZ47
contig_111	cds	6575	7303	-	COBAOO_00115	gltR	two-component system response regulator GltR	BlastRules:WP_003091475, BlastRules:WP_010952194, SO:0001217, UniRef:UniRef50_N2J276
contig_111	cds	7338	8333	-	COBAOO_00120		Glucokinase	SO:0001217, UniRef:UniRef50_A6V2N1
contig_111	cds	8436	10262	-	COBAOO_00125		Phosphogluconate dehydratase	SO:0001217, UniRef:UniRef50_A0A7Z2AMD8
contig_111	cds	10392	11396	+	COBAOO_00130		Glyceraldehyde-3-phosphate dehydrogenase	SO:0001217, UniRef:UniRef50_P27726
contig_111	cds	11403	11615	-	COBAOO_00135		DUF1289 domain-containing protein	SO:0001217, UniRef:UniRef50_Q4KGA6
contig_111	cds	11700	12230	-	COBAOO_00140		Eaa protein	SO:0001217, UniRef:UniRef50_A0A0P9P7D4
contig_111	cds	12311	13309	-	COBAOO_00145		hypothetical protein	
contig_111	cds	13455	14345	-	COBAOO_00150		Segregation/condensation protein A	SO:0001217, UniRef:UniRef50_Q1N5L9
contig_111	cds	14380	15009	-	COBAOO_00155		Threonylcarbamoyl-AMP synthase	SO:0001217, UniRef:UniRef50_A0A161HVR8
contig_111	cds	15006	15893	-	COBAOO_00160		Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase	SO:0001217, UniRef:UniRef50_A0A2N7RFD2
contig_111	cds	16109	16696	+	COBAOO_00165	yciB	Inner membrane-spanning protein YciB	SO:0001217, UniRef:UniRef50_Q885M2
contig_111	cds	16698	16997	+	COBAOO_00170		YCII domain-containing protein	SO:0001217, UniRef:UniRef50_Q6LP86
contig_111	cds	17176	17541	+	COBAOO_00175		hypothetical protein	
contig_111	cds	17552	18229	+	COBAOO_00180		DNA-binding response regulator	SO:0001217, UniRef:UniRef50_A0A120G952
contig_111	cds	18358	18798	+	COBAOO_00185		hypothetical protein	
contig_111	cds	18913	20250	+	COBAOO_00190		histidine kinase	SO:0001217, UniRef:UniRef50_A0A3M5PKI6
contig_111	cds	20294	20770	+	COBAOO_00195		hypothetical protein	
contig_111	cds	20751	21311	-	COBAOO_00200		Putative NAD(P)H nitroreductase	SO:0001217, UniRef:UniRef50_A0A127MPD2
contig_111	cds	21376	21747	-	COBAOO_00205		Ferredoxin	SO:0001217, UniRef:UniRef50_A0A2G0Z967
contig_111	cds	21905	23359	+	COBAOO_00210		Trk system potassium uptake protein	SO:0001217, UniRef:UniRef50_Q4ZQE7
contig_111	cds	23426	24571	+	COBAOO_00215	mlaE	Intermembrane phospholipid transport system permease protein MlaE	SO:0001217, UniRef:UniRef50_A0A379J0W3
contig_111	cds	24568	25362	+	COBAOO_00220		ABC transporter related protein	SO:0001217, UniRef:UniRef50_Q2Y8K9
contig_111	cds	25364	26302	+	COBAOO_00225	mlaD	MlaD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3F3GQX5
contig_111	cds	26299	26931	+	COBAOO_00230		ABC-trans-aux domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0B7D4B1
contig_111	cds	26954	27949	-	COBAOO_00235		AraC-type DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A1I5EUQ4
contig_111	cds	28110	28427	+	COBAOO_00240		DUF962 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1L6KHR5
contig_111	cds	28697	30037	+	COBAOO_00245		Adenylate cyclase	SO:0001217, UniRef:UniRef50_A0A147H3U8
contig_111	cds	30027	31082	-	COBAOO_00250		GDP-mannose-dependent alpha-mannosyltransferase	SO:0001217, UniRef:UniRef50_A0A127MX45
contig_111	cds	31079	31891	-	COBAOO_00255		Metallophos-2 domain-containing protein	SO:0001217, UniRef:UniRef50_I3YDQ2
contig_111	cds	32038	32802	+	COBAOO_00260		HTH araC/xylS-type domain-containing protein	SO:0001217, UniRef:UniRef50_U6ZW69
contig_111	cds	32867	33202	+	COBAOO_00265		tRNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_W6RWB4
contig_111	cds	33212	34105	+	COBAOO_00270	eamA	EamA family transporter	SO:0001217, UniRef:UniRef50_A0A1B8V9N4
contig_111	cds	34185	35138	-	COBAOO_00275		HTH-type transcriptional repressor PA14_22550	SO:0001217, UniRef:UniRef50_A0A0H2ZDG9
contig_111	cds	35240	35794	+	COBAOO_00280		hypothetical protein	PFAM:PF03358.18, PFAM:PF12724.10
contig_111	cds	35870	36487	+	COBAOO_00285	gstA	Glutathione transferase GstA	SO:0001217, UniRef:UniRef50_A0A8T8BWQ3
contig_111	cds	36945	37472	+	COBAOO_00290		hypothetical protein	
contig_111	cds	37584	37970	+	COBAOO_00295		Glycine cleavage system H protein	SO:0001217, UniRef:UniRef50_I0HPJ9
contig_111	cds	38055	38798	+	COBAOO_00300	dsbA	DsbA family protein	SO:0001217, UniRef:UniRef50_V6AC98
contig_111	cds	39053	39694	-	COBAOO_00305	azoR3	FMN-dependent NADH-azoreductase AzoR3	BlastRules:WP_003114814, EC:1.7.1.17, SO:0001217, UniRef:UniRef50_Q9HZ17
contig_111	cds	39841	40158	-	COBAOO_00310		3-phosphoglycerate kinase	SO:0001217, UniRef:UniRef50_S6BEJ2
contig_111	cds	40358	41287	+	COBAOO_00315		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_N2J292
contig_111	cds	41294	42121	+	COBAOO_00320	rutD	Putative aminoacrylate hydrolase RutD	SO:0001217, UniRef:UniRef50_A0A2C9EI94
contig_111	cds	42103	42666	+	COBAOO_00325		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_P42693
contig_111	cds	42729	44561	+	COBAOO_00330		ABC-type xenobiotic transporter	SO:0001217, UniRef:UniRef50_E1SHL7
contig_111	cds	44843	45109	+	COBAOO_00335		DUF2790 domain-containing protein	SO:0001217, UniRef:UniRef50_A4XSI1
contig_111	cds	45142	46266	-	COBAOO_00340		GNAT family N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A0Q0AC34
contig_111	cds	46542	46700	-	COBAOO_00345		hypothetical protein	
